,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
59.5,0.018870493,0.028570408,0.042988838,0.063886203,0.093192039,0.132847552,0.18506609,0.252106739,0.336056365,0.43862726,0.560945528,0.703352594,0.865243978,1.044967833,1.239800644,1.446009509,1.659000629,1.873543664,2.084052759,2.284898839,2.470724819,2.636736112,2.778942757,2.894335919,2.98098934,3.038084316,3.065864021,3.065528634,3.03908637,2.989177068,2.918884629,2.831552782,2.730615767,2.619452219,2.50126715,2.379003847,2.255285001,2.132380471,2.012197915,1.896291864,1.785886742
59.6,0.018583296,0.028174675,0.042451531,0.063171951,0.092268225,0.131690384,0.183664629,0.250468509,0.334213098,0.436639595,0.558905858,0.701385349,0.863502865,1.04362993,1.239057616,1.446056608,1.660024466,1.87570989,2.08749487,2.289709144,2.476948387,2.644368144,2.787929461,2.904578608,2.992351181,3.050398956,3.078945257,3.079180272,3.053111553,3.003386485,2.933103231,2.845624785,2.744407931,2.632855506,2.514196959,2.391399119,2.267106453,2.143608278,2.022829069,1.906337446,1.79536927
59.7,0.018307489,0.027793695,0.041932874,0.06248052,0.091371204,0.130563132,0.182294599,0.248860772,0.332396051,0.434669743,0.55687084,0.699404507,0.861724875,1.042227327,1.238218468,1.445973932,1.660884321,1.877679277,2.090710585,2.294268647,2.482903497,2.651722043,2.796637111,2.914550359,3.003459023,3.062484712,3.091829874,3.092673412,3.067020754,3.017525314,2.947298024,2.859719772,2.758268681,2.646370786,2.527279211,2.403983778,2.279150415,2.155087761,2.033737149,1.916681458,1.805168268
59.8,0.018042719,0.027427045,0.041432378,0.061811365,0.090500392,0.129465198,0.180955418,0.247282982,0.330604735,0.432717268,0.554840067,0.697409647,0.859909503,1.040759356,1.237282274,1.445760203,1.661578497,1.879449661,2.093697266,2.298574273,2.488586724,2.658794162,2.805062008,2.924247612,3.014309659,3.074338931,3.104515967,3.106007067,3.080814042,3.031594771,2.961471432,2.873841386,2.772202852,2.660004042,2.540520955,2.416765851,2.291425778,2.166828568,2.044932446,1.927334736,1.815295021
59.9,0.017788648,0.02707432,0.040949573,0.061163959,0.089655225,0.128396004,0.179646521,0.245734612,0.32883867,0.430781739,0.552813136,0.695400355,0.858056259,1.039225364,1.236248132,1.445414183,1.662105344,1.881018935,2.096452339,2.302623019,2.493994717,2.665580931,2.813200527,2.933666881,3.024899943,3.085959019,3.117001688,3.119180305,3.094491535,3.045596129,2.975625937,2.887993341,2.786215378,2.673761372,2.55392938,2.429753524,2.303941625,2.178840569,2.056425513,1.938308405,1.825761134
60,0.017544953,0.026735134,0.040484009,0.060537797,0.088835158,0.12735499,0.178367356,0.24421514,0.327097383,0.428862731,0.550789653,0.693376223,0.85616466,1.037624717,1.235115166,1.444934669,1.662463259,1.882385049,2.0989733,2.306411956,2.499124205,2.67207886,2.821049119,2.942804748,3.035226796,3.097342441,3.129285241,3.13219224,3.108053403,3.059530714,2.989764088,2.902179431,2.800311282,2.687648988,2.567511818,2.442955158,2.316707244,2.19113387,2.068227166,1.949613894,1.83657855
60.1,0.017311329,0.026409119,0.040035255,0.059932393,0.088039665,0.126341612,0.177117388,0.242724062,0.325380414,0.426959829,0.548769229,0.69133685,0.854234237,1.035956801,1.233882529,1.444320497,1.662650689,1.883546015,2.101257712,2.309938233,2.503971996,2.678284538,2.828604315,2.951657871,3.045287207,3.108486722,3.141364884,3.14504204,3.121499866,3.073399908,3.003888496,2.916403525,2.814495684,2.701673222,2.581275745,2.456379287,2.329732131,2.203718824,2.080348506,1.961262949,1.847759568
60.2,0.017087484,0.026095922,0.039602898,0.05934728,0.087268241,0.125355344,0.175896093,0.241260882,0.323687306,0.42507262,0.54675148,0.689281846,0.852264533,1.034221017,1.232549403,1.443570543,1.662666135,1.884499909,2.103303215,2.31319908,2.508534985,2.684194641,2.835862727,2.960222984,3.055078232,3.119389447,3.15323893,3.157728923,3.134831194,3.087205144,3.018001832,2.930669567,2.828773802,2.715840525,2.595228786,2.470034631,2.343026,2.216606036,2.092800927,1.973267649,1.859316858
60.3,0.01687314,0.025795208,0.039186542,0.058782008,0.086520394,0.124395676,0.174702966,0.239825114,0.322017615,0.4232007,0.544736029,0.687210825,0.850255102,1.032416789,1.231114998,1.442683724,1.662508149,1.885244872,2.105107521,2.316191808,2.51281015,2.68980593,2.842821049,2.968496897,3.064596998,3.130048264,3.164905748,3.170252156,3.148047707,3.100947912,3.032106833,2.944981583,2.843150949,2.730157474,2.609378722,2.483930096,2.35659879,2.22980638,2.105596131,1.985640423,1.871263483
60.4,0.016668034,0.025506655,0.038785809,0.058236147,0.085795655,0.123462115,0.173537511,0.238416288,0.320370903,0.421343671,0.542722503,0.685123411,0.84820551,1.03054356,1.229578555,1.441658998,1.662175336,1.885779109,2.10666842,2.318913813,2.516794562,2.695115255,2.849476063,2.976476501,3.073840702,3.140460885,3.17636376,3.182611057,3.161149772,3.114629752,3.046206298,2.959343674,2.857632541,2.744630773,2.623733494,2.498074784,2.370460678,2.243331005,2.118746141,1.998394068,1.883612916
